Sr. No.	Accession No.	Subject	Title	Author	Remarks
1	VRT0006	Dharmashastra Ritual	गृहशान्ति		Incomplete.
2	VRT0020	Dharmashastra Ritual	त्रिकालसन्ध्या		Incomplete.
3	VRT0025	Dharmashastra Ritual	त्रिकालसन्ध्या		Incomplete.
4	VRT0017	Dharmashastra Ritual	सेवाश्लोक	श्रीवल्लभाचार्य	Incomplete.
5	VRT0007	Dharmashastra Ritual	होमयज्ञ		Incomplete.
6	VRT0002	Nyaya	Commentary on the work of शिवादित्य		Incomplete.
7	VRT0026	Nyaya	उपमाननिरूपण		Incomplete.
8	VRT0001	Nyaya	चिन्तामणिटीका		Incomplete.
9	VRT0021	Nyaya	तर्ककौमुदी	लौगाक्षी भास्कर	Incomplete.
10	VRT0019	Nyaya	तर्कभाषा	केशव मिश्र	Incomplete.
11	VRT0023	Nyaya	तर्कभाषाप्रकाश	गोवर्धन मिश्र	Incomplete.
12	VRT0022	Nyaya	तर्कसङ्ग्रह	अन्नम्भट्ट	Incomplete.
13	VRT0024	Nyaya	तर्कसङ्ग्रहदीपिका	अन्नम्भट्ट	Incomplete. Scribe: शङ्कर भाउजी. V.S. 1724.
14	VRT0003	Nyaya	दीधिति	रघुनाथ शिरोमणि	Incomplete.
15	VRT0010	Nyaya	न्यायसिद्धान्तमञ्जरी	जानकीनाथ शर्मा	Complete.
16	VRT0011	Nyaya	न्यायसिद्धान्तमञ्जरी (शब्दखण्डटीका)		Incomplete.
17	VRT0009	Nyaya	मञ्जरीमकरन्द	भूदेव शुक्ल	Incomplete.
18	VRT0027	Nyaya	वादबोधटीका		Incomplete.
19	VRT0018	Nyaya	सिद्धान्तमुक्तावलीटीका	महादेव	Incomplete.
20	VRT0016	Nyaya	सौयोगविभाग (तर्कसङ्ग्रहदीपिका)		Incomplete.
21	VRT0004	Purana	दुर्गासप्तशतिकास्तोत्र		Incomplete.
22	VRT0012	Rhetorics	नायिकावर्णन		Incomplete.
23	VRT0015	Rhetorics	रसतरङ्गिणी	भानुदत्त	Incomplete. 14th century.
24	VRT0013	Rhetorics	रसमञ्जरी	भानुकवि	Complete. 14th century. Scribe: हरिराम. V.S. 1665
25	VRT0014	Rhetorics	रसमञ्जरीटीका	चिन्तामणि (शेष) s/o नरसिंह	Incomplete.
26	VRT0005	Vaisheshika	द्रव्यपदार्थ (तर्कसङ्ग्रह)		Incomplete.
27	VRT0008	Vaisheshika	लक्षणावलीप्रकाश	केशव s/o अनन्त भट्ट	Incomplete. This is a commentary on लक्षणावली of उदयनाचार्य.

